2025-03-31 19:45:15 - #----------Config info----------#
2025-03-31 19:45:15 - network: 3munet,
2025-03-31 19:45:15 - model_config: {'num_classes': 7, 'input_channels': 3, 'depths': [2, 2, 2, 2, 2], 'depths_decoder': [2, 2, 2, 2, 1], 'drop_path_rate': 0.2, 'load_ckpt_path': './pre_trained_weights/vmamba_small_e238_ema.pth'},
2025-03-31 19:45:15 - start_epoch_best_model_saving: 0,
2025-03-31 19:45:15 - condition_hd95: 9.0,
2025-03-31 19:45:15 - deep_supervision: False,
2025-03-31 19:45:15 - deep_supervision_weight: [1.0, 1.0, 1.0, 1.0, 1.0],
2025-03-31 19:45:15 - mask_update: False,
2025-03-31 19:45:15 - mfe_enable: True,
2025-03-31 19:45:15 - mcsa_enable: True,
2025-03-31 19:45:15 - datasets: vofo,
2025-03-31 19:45:15 - data_path: ./data/vofo/,
2025-03-31 19:45:15 - pretrained_path: ./pre_trained/,
2025-03-31 19:45:15 - num_classes: 7,
2025-03-31 19:45:15 - color_palette: {0: [0, 0, 0], 1: [255, 0, 0], 2: [255, 165, 0], 3: [255, 255, 0], 4: [0, 255, 0], 5: [0, 0, 255], 6: [148, 0, 211]},
2025-03-31 19:45:15 - opacity: 0.7,
2025-03-31 19:45:15 - input_size_h: 256,
2025-03-31 19:45:15 - input_size_w: 256,
2025-03-31 19:45:15 - input_channels: 3,
2025-03-31 19:45:15 - distributed: False,
2025-03-31 19:45:15 - local_rank: -1,
2025-03-31 19:45:15 - num_workers: 16,
2025-03-31 19:45:15 - seed: 42,
2025-03-31 19:45:15 - world_size: None,
2025-03-31 19:45:15 - rank: None,
2025-03-31 19:45:15 - amp: False,
2025-03-31 19:45:15 - gpu_id: 0,
2025-03-31 19:45:15 - batch_size: 16,
2025-03-31 19:45:15 - epochs: 200,
2025-03-31 19:45:15 - loss_weight: [1, 1],
2025-03-31 19:45:15 - criterion: CeDiceLoss(
  (celoss): CrossEntropyLoss()
  (diceloss): nDiceLoss()
),
2025-03-31 19:45:15 - work_dir: ./results_vofo/,
2025-03-31 19:45:15 - print_interval: 64,
2025-03-31 19:45:15 - val_interval: 30,
2025-03-31 19:45:15 - save_interval: 100,
2025-03-31 19:45:15 - threshold: 0.5,
2025-03-31 19:45:15 - train_transformer: Compose(
    <utils.myNormalize object at 0x7f0de746b490>
    <utils.myToTensor object at 0x7f0de746b4f0>
    <utils.myRandomHorizontalFlip object at 0x7f0de746b520>
    <utils.myRandomVerticalFlip object at 0x7f0de746b580>
    <utils.myRandomRotation object at 0x7f0de746b5e0>
    <utils.myResize object at 0x7f0de746b640>
),
2025-03-31 19:45:15 - test_transformer: Compose(
    <utils.myNormalize object at 0x7f0de746b730>
    <utils.myToTensor object at 0x7f0de746b790>
    <utils.myResize object at 0x7f0de746b7c0>
),
2025-03-31 19:45:15 - opt: AdamW,
2025-03-31 19:45:15 - lr: 0.0005,
2025-03-31 19:45:15 - betas: (0.9, 0.999),
2025-03-31 19:45:15 - eps: 1e-08,
2025-03-31 19:45:15 - weight_decay: 0.01,
2025-03-31 19:45:15 - amsgrad: False,
2025-03-31 19:45:15 - sch: CosineAnnealingLR,
2025-03-31 19:45:15 - T_max: 33,
2025-03-31 19:45:15 - eta_min: 1e-05,
2025-03-31 19:45:15 - last_epoch: -1,
2025-03-31 19:45:19 - flops: 3.921238656, params: 22.077297, Total params: : 27.9154
2025-03-31 19:45:26 - train: epoch 1, iter:0, loss: 3.1188, lr: 0.0005
2025-03-31 19:46:40 - train: epoch 1, iter:64, loss: 1.3981, lr: 0.0005
2025-03-31 19:47:05 - train: epoch 2, iter:0, loss: 1.3780, lr: 0.0004988906210304057
2025-03-31 19:48:21 - train: epoch 2, iter:64, loss: 1.2907, lr: 0.0004988906210304057
2025-03-31 19:48:45 - train: epoch 3, iter:0, loss: 1.2767, lr: 0.0004955725308293631
2025-03-31 19:50:01 - train: epoch 3, iter:64, loss: 1.2799, lr: 0.0004955725308293631
2025-03-31 19:50:24 - train: epoch 4, iter:0, loss: 1.2357, lr: 0.0004900757785355519
2025-03-31 19:51:41 - train: epoch 4, iter:64, loss: 1.2711, lr: 0.0004900757785355519
2025-03-31 19:52:04 - train: epoch 5, iter:0, loss: 1.2140, lr: 0.00048245014358893777
2025-03-31 19:53:20 - train: epoch 5, iter:64, loss: 1.2650, lr: 0.00048245014358893777
2025-03-31 19:53:44 - train: epoch 6, iter:0, loss: 1.2808, lr: 0.00047276468492045626
2025-03-31 19:55:00 - train: epoch 6, iter:64, loss: 1.2582, lr: 0.00047276468492045626
2025-03-31 19:55:22 - train: epoch 7, iter:0, loss: 1.2262, lr: 0.00046110711554363937
2025-03-31 19:56:39 - train: epoch 7, iter:64, loss: 1.2518, lr: 0.00046110711554363937
2025-03-31 19:57:01 - train: epoch 8, iter:0, loss: 1.2260, lr: 0.0004475830082119829
2025-03-31 19:58:17 - train: epoch 8, iter:64, loss: 1.2333, lr: 0.0004475830082119829
2025-03-31 19:58:41 - train: epoch 9, iter:0, loss: 1.3690, lr: 0.0004323148393357421
2025-03-31 19:59:57 - train: epoch 9, iter:64, loss: 1.2281, lr: 0.0004323148393357421
2025-03-31 20:00:29 - train: epoch 10, iter:0, loss: 1.1140, lr: 0.00041544087981659484
2025-03-31 20:01:45 - train: epoch 10, iter:64, loss: 1.2071, lr: 0.00041544087981659484
2025-03-31 20:02:18 - train: epoch 11, iter:0, loss: 1.1626, lr: 0.00039711394284494355
2025-03-31 20:03:34 - train: epoch 11, iter:64, loss: 1.1811, lr: 0.00039711394284494355
2025-03-31 20:04:06 - train: epoch 12, iter:0, loss: 1.1473, lr: 0.0003775
2025-03-31 20:05:21 - train: epoch 12, iter:64, loss: 1.1649, lr: 0.0003775
2025-03-31 20:05:54 - train: epoch 13, iter:0, loss: 1.0415, lr: 0.0003567766781854622
2025-03-31 20:07:10 - train: epoch 13, iter:64, loss: 1.1213, lr: 0.0003567766781854622
2025-03-31 20:07:43 - train: epoch 14, iter:0, loss: 1.1443, lr: 0.0003351316510127683
2025-03-31 20:08:59 - train: epoch 14, iter:64, loss: 1.1044, lr: 0.0003351316510127683
2025-03-31 20:09:41 - train: epoch 15, iter:0, loss: 1.1799, lr: 0.0003127609391998097
2025-03-31 20:10:57 - train: epoch 15, iter:64, loss: 1.0498, lr: 0.0003127609391998097
2025-03-31 20:11:38 - train: epoch 16, iter:0, loss: 0.9465, lr: 0.0002898671353769549
2025-03-31 20:12:54 - train: epoch 16, iter:64, loss: 1.0269, lr: 0.0002898671353769549
2025-03-31 20:13:34 - train: epoch 17, iter:0, loss: 1.0886, lr: 0.0002666575693768169
2025-03-31 20:14:50 - train: epoch 17, iter:64, loss: 0.9927, lr: 0.0002666575693768169
2025-03-31 20:15:31 - train: epoch 18, iter:0, loss: 1.0866, lr: 0.00024334243062318312
2025-03-31 20:16:47 - train: epoch 18, iter:64, loss: 0.9645, lr: 0.00024334243062318312
